,beta0,beta1,beta2,beta3,tau1,tau2
2022-04-12,39.11674463676738,-36.254188051235325,-189.62216682937645,1005.1214980014395,-159.15722625629283,-828.921553639757
2022-04-13,31.568611444694234,-28.70359221917028,-169.5646156930267,891.3192678120854,-151.0726535763893,-754.9359105969357
2022-04-14,786.5682154808371,-778.4635574805058,91.18628765548844,-22.205126460077597,-3433.7314318851663,3.4672610325533877
2022-04-19,199.87081870686876,-197.5666892797207,-18.167919677923148,20.435063989765403,-2891.554289664605,-2980.795338117743
2022-04-20,826.2322550470208,-817.9319052114142,94.6491209596162,-22.866068320154195,-3489.575702653576,3.439779087695851
2022-04-21,56.776855810511194,-54.466521098809075,-6.979086148652814,48.87214166406803,-983.4204821629689,-2303.225009703829
2022-04-22,912.3688866386965,-904.0033436185404,121.67575491060722,-23.07174033936417,-3868.6859187238065,3.4290199995363664
2022-04-25,-3848.1232828895527,3848.286908128141,3744.520300132201,242.86459096888882,-783.8855153087965,0.017811291291333284
2022-04-26,687.2643651465655,-678.7665685580193,6.391457092027081,-23.527623440464588,-2522.8011714008912,3.4176059318222056
2022-04-27,209.61181571594597,-206.63421924269025,-278.2394932164151,505.8390220843679,-162.69518112115716,-715.9994858907899
2022-04-28,175.31002465192893,-172.3240101337348,-269.8505273548901,596.2605462146232,-162.894168774556,-688.6345251553884
2022-04-29,64.8844468102144,-62.528546138132924,-1.5522396435768793,59.19913423794188,-1288.719140643142,-2280.991693199601
2022-05-03,67.35262754662898,-64.9734301022635,0.35639756689863344,56.63315020474298,-1256.7720527647589,-2513.5802081380643
2022-05-04,73.10348467993721,-70.71805925182464,-1.6956926530511827,57.157599293117734,-1341.6781146808253,-2449.735429881306
2022-05-05,59.688103336834416,-57.29856323712279,0.8066661415171679,44.52614915767086,-1137.0631747392806,-1896.8666416090493
2022-05-06,70.7379633648637,-68.3421826821464,-1.5848985355982774,48.11560120688769,-1262.4647520886297,-2255.104482128468
2022-05-09,51.16026342654092,-48.74632053963618,-2.1347005136206567,60.101116363009375,-1035.8465048852167,-1959.488099337364
